model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5,2019,22500,0,8006,2,140,85.6,1.8
5,2005,1300,1,129000,3,260,36.7,1.8
5,2019,20250,0,7445,1,140,85.6,1.8
5,2020,26980,0,5000,1,135,72.4,2.0
5,2019,21995,0,8789,1,135,85.6,1.8
5,2019,18995,1,2193,3,145,39.2,1.2
5,2019,22498,0,9798,1,135,78.5,1.8
5,2019,20998,0,8442,1,135,85.6,1.8
5,2019,27990,0,3650,1,135,72.4,2.0
5,2019,22520,0,7666,1,135,85.6,1.8
5,2019,17440,1,6346,3,145,39.2,1.2
5,2019,22990,0,9000,1,135,78.5,1.8
5,2019,25570,0,3196,1,135,72.4,2.0
5,2019,19998,0,1992,1,135,85.6,1.8
5,2019,23990,0,9500,1,135,78.5,1.8
5,2019,19995,0,12158,1,135,85.6,1.8
5,2019,24995,0,5500,1,135,72.4,2.0
5,2019,24995,0,1350,1,135,72.4,2.0
5,2019,23440,0,5000,1,135,78.5,1.8
5,2019,21990,0,9278,1,135,85.6,1.8
5,2019,20990,0,5000,1,135,85.6,1.8
5,2019,19990,0,10500,1,135,85.6,1.8
5,2019,21995,0,9100,1,135,58.9,1.8
5,2019,22070,0,9304,1,135,78.5,1.8
5,2019,22490,0,9500,1,135,85.6,1.8
5,2019,15990,1,3500,3,145,39.2,1.2
5,2019,21998,0,9023,1,135,72.4,2.0
5,2019,22075,0,9684,1,135,85.6,1.8
5,2020,28990,0,2000,1,140,53.3,2.0
5,2019,16995,1,6503,3,145,39.2,1.2
5,2019,18498,1,5087,3,145,39.2,1.2
5,2019,25995,0,1751,1,135,72.4,2.0
5,2019,24998,0,6195,1,140,72.4,2.0
5,2019,23500,0,4720,1,135,78.5,1.8
5,2019,21750,0,2839,1,135,85.6,1.8
5,2019,21000,0,11408,1,135,85.6,1.8
5,2019,23000,0,6788,1,135,85.6,1.8
5,2019,25000,0,2430,1,140,78.5,1.8
5,2019,23000,0,3579,1,135,72.4,2.0
5,2019,24000,0,6415,1,135,72.4,2.0
5,2019,22500,0,9493,1,135,78.5,1.8
5,2019,22790,0,5830,1,135,72.4,2.0
5,2019,22790,0,9781,1,135,72.4,2.0
5,2019,21490,0,8950,1,135,72.4,2.0
5,2019,17250,1,12000,3,145,39.2,1.2
5,2019,15998,1,7016,3,145,39.2,1.2
5,2019,20498,0,13872,1,140,72.4,2.0
5,2019,15990,1,2336,3,145,39.2,1.2
5,2019,20488,0,3892,1,140,58.9,1.8
5,2019,20288,1,4886,3,150,39.2,1.2
5,2019,17995,1,9770,3,145,39.2,1.2
5,2019,16490,1,8599,3,145,39.2,1.2
5,2019,15990,1,5346,3,145,39.2,1.2
5,2019,18290,1,3250,3,145,39.2,1.2
5,2019,19998,1,4290,3,150,39.2,1.2
5,2019,23888,0,3497,1,140,72.4,2.0
5,2019,15990,1,6449,3,145,39.2,1.2
5,2020,27495,0,998,1,135,53.3,2.0
5,2019,23448,0,3988,1,135,72.4,2.0
5,2019,22990,0,5268,1,135,72.4,2.0
5,2019,18295,1,1110,3,145,39.2,1.2
5,2019,18995,1,1436,3,145,39.2,1.2
5,2019,21490,0,9296,1,135,58.9,1.8
5,2019,22790,0,8322,1,135,72.4,2.0
5,2019,17490,1,9000,3,145,39.2,1.2
