model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
11,2020,25990,0,3,1,135,64.2,1.8
11,2020,31995,0,100,1,135,217.3,1.8
11,2020,23500,0,267,1,135,61.4,1.8
11,2019,23498,0,464,1,135,61.4,1.8
11,2019,23998,0,722,1,140,64.2,1.8
11,2020,25990,0,1459,1,135,62.8,1.8
11,2020,27990,0,1500,1,135,235.0,1.8
11,2019,22995,0,1626,1,135,64.2,1.8
11,2019,22490,0,1995,1,135,61.4,1.8
11,2019,24990,0,2100,1,135,62.8,1.8
11,2020,26000,0,2250,1,135,64.2,1.8
11,2019,25000,0,2300,1,135,61.4,1.8
11,2019,24961,0,2731,1,135,62.8,1.8
11,2019,26990,0,2979,1,140,62.8,1.8
11,2017,20995,0,3440,1,135,94.1,1.8
11,2019,27999,0,3650,1,140,217.3,1.8
11,2019,23998,0,3700,1,135,64.2,1.8
11,2019,29995,0,3754,1,135,217.3,1.8
11,2017,20795,0,3881,1,135,235.0,1.8
11,2019,22990,0,3982,1,135,61.4,1.8
11,2019,21500,0,4000,1,135,235.0,1.8
11,2019,24395,0,4092,2,140,61.4,1.8
11,2019,24490,0,4454,1,135,64.2,1.8
11,2019,23490,0,4605,1,140,61.4,1.8
11,2018,21725,0,4623,1,135,85.6,1.8
11,2019,23995,0,4793,1,140,64.2,1.8
11,2019,22000,0,4874,1,135,61.4,1.8
11,2019,28590,0,5000,2,135,217.3,1.8
11,2019,23995,0,5278,2,135,61.4,1.8
11,2019,26700,0,6053,2,135,217.3,1.8
11,2019,22750,0,6133,1,135,64.2,1.8
11,2019,24995,0,6201,1,135,64.2,1.8
11,2019,23750,0,6451,2,135,61.4,1.8
11,2019,24695,0,6500,1,135,64.2,1.8
11,2019,24987,0,6552,1,135,235.0,1.8
11,2019,26990,0,7000,2,135,217.3,1.8
11,2019,23490,0,7194,1,135,64.2,1.8
11,2019,22300,0,7620,1,135,64.2,1.8
11,2019,24060,0,7677,1,135,62.8,1.8
11,2019,25650,0,8000,1,135,62.8,1.8
11,2019,23690,0,8925,1,135,64.2,1.8
11,2017,20995,0,8943,1,0,94.1,1.8
11,2016,19990,0,9320,1,0,94.1,1.8
11,2019,22998,0,9776,1,135,64.2,1.8
11,2018,21995,0,9843,1,135,94.1,1.8
11,2017,20000,0,9891,1,0,85.6,1.8
11,2019,27999,0,9975,1,140,217.3,1.8
11,2016,19500,0,10000,1,0,85.6,1.8
11,2019,23640,0,10105,1,135,64.2,1.8
11,2018,20950,0,10549,1,135,94.1,1.8
11,2017,20995,0,11500,1,135,85.6,1.8
11,2016,24500,0,11748,1,0,68.9,1.8
11,2015,22995,0,11872,1,10,64.2,1.8
11,2017,19000,0,11996,1,0,94.1,1.8
11,2016,19798,0,12056,1,0,85.6,1.8
11,2016,18390,0,12075,1,0,94.1,1.8
11,2017,19998,0,12232,1,0,85.6,1.8
11,2017,24999,0,12930,1,10,64.2,1.8
11,2017,20490,0,12983,1,135,94.1,1.8
11,2019,26995,0,12998,1,135,217.3,1.8
11,2017,19998,0,13476,1,140,235.0,1.8
11,2019,22495,0,13772,1,135,235.0,1.8
11,2016,17861,0,14749,1,0,85.6,1.8
11,2017,18995,0,15000,1,0,94.1,1.8
11,2017,21450,0,15351,1,135,85.6,1.8
11,2017,19990,0,15661,1,135,85.6,1.8
11,2015,23300,0,16100,1,10,64.2,1.8
11,2018,20495,0,16347,1,140,235.0,1.8
