model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
13,2019,47498,3,327,3,145,34.5,3.0
13,2019,49994,3,500,3,145,34.5,3.0
13,2019,47500,3,5,3,145,34.5,3.0
13,2019,51995,3,250,3,145,34.5,3.0
13,2019,51995,3,1902,3,145,34.5,3.0
13,2019,49990,3,3000,3,145,34.5,3.0
13,2019,49991,3,1000,3,145,34.5,3.0
13,2019,51995,3,4153,3,145,34.5,3.0
13,2019,49499,0,10,3,145,34.5,3.0
13,2019,48950,0,2771,3,145,34.5,3.0
13,2019,49490,0,162,3,145,34.5,3.0
13,2019,59995,0,9909,2,150,34.5,3.0
