model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
15,2018,17995,3,3252,3,145,43.5,1.8
15,2017,11498,1,6741,3,150,41.5,1.6
15,2017,15495,3,6800,3,145,42.8,1.8
15,2017,12485,1,6995,3,205,41.5,1.6
15,2018,13965,1,7074,0,145,62.8,1.6
15,2016,12995,1,7492,3,200,41.5,1.6
15,2016,12230,1,7674,0,30,62.8,1.6
15,2017,16995,3,8702,3,160,43.5,1.8
15,2016,11495,1,9000,3,200,41.5,1.6
15,2018,16995,3,9250,3,145,42.8,1.8
15,2016,16700,0,9444,2,160,43.5,1.8
15,2017,15980,3,9589,3,160,43.5,1.8
15,2017,11395,1,9700,3,150,41.5,1.6
15,2017,15995,1,10136,0,145,62.8,1.6
15,2015,14274,0,10500,3,165,43.5,1.8
15,2017,15330,0,10772,3,150,42.8,1.8
15,2016,11700,1,10863,3,200,41.5,1.6
15,2015,14871,3,11536,3,160,43.5,1.8
15,2016,13990,3,12068,3,160,43.5,1.8
15,2017,12660,1,12114,3,145,41.5,1.6
15,2016,11195,1,12698,3,200,41.5,1.6
15,2016,14995,0,13000,3,200,42.8,1.8
15,2017,13998,3,13017,3,205,42.8,1.8
15,2017,13998,3,13655,3,205,42.8,1.8
15,2017,15995,0,13900,3,165,43.5,1.8
15,2017,14995,3,13913,3,150,42.8,1.8
15,2017,14495,1,13918,3,200,41.5,1.6
15,2016,13490,3,13992,3,165,43.5,1.8
15,2016,11298,1,14103,3,205,41.5,1.6
15,2016,12295,1,14251,0,30,62.8,1.6
15,2016,11990,1,14996,3,200,41.5,1.6
15,2016,12970,0,15030,3,200,42.8,1.8
15,2017,15490,3,15062,3,200,42.8,1.8
15,2017,12998,1,15558,3,145,41.5,1.6
15,2017,15498,3,16084,3,160,43.5,1.8
15,2015,11495,1,16232,0,30,62.8,1.6
15,2017,16500,3,16412,3,200,42.8,1.8
15,2016,13981,3,16429,3,200,42.8,1.8
15,2017,13995,1,16836,0,30,62.8,1.6
15,2017,13495,3,17145,3,200,42.8,1.8
15,2015,10999,1,17684,0,30,62.8,1.6
15,2016,10990,1,19000,3,205,41.5,1.6
15,2015,13994,0,19293,3,200,41.5,1.8
15,2017,12800,1,19303,0,145,62.8,1.6
15,2016,11691,1,19417,3,200,41.5,1.6
15,2017,16781,3,19432,3,150,43.5,1.8
15,2017,16299,3,19687,3,165,43.5,1.8
15,2017,12990,3,19807,3,200,42.8,1.8
15,2017,13995,3,19856,3,200,42.8,1.8
15,2017,13498,3,20450,3,205,42.8,1.8
15,2017,12490,1,20501,3,145,41.5,1.6
15,2016,11222,1,20762,3,205,41.5,1.6
15,2017,11400,1,20891,3,200,41.5,1.6
15,2018,12498,1,21981,3,145,41.5,1.6
15,2017,14291,0,22512,3,200,42.8,1.8
15,2016,10500,1,22691,3,200,41.5,1.6
15,2016,14995,0,22703,3,165,43.5,1.8
15,2017,11998,1,23161,3,150,41.5,1.6
15,2017,15495,3,23741,3,160,43.5,1.8
15,2017,12995,1,23850,0,145,62.8,1.6
15,2015,13749,0,24321,3,160,43.5,1.8
15,2017,12690,3,24389,3,200,42.8,1.8
15,2017,13495,0,24972,3,200,42.8,1.8
15,2016,12999,0,25001,3,160,43.5,1.8
15,2017,12990,3,25050,3,200,42.8,1.8
15,2016,11000,1,25725,3,200,41.5,1.6
15,2017,13995,0,26000,3,145,43.5,1.8
15,2017,14995,3,26242,3,150,43.5,1.8
15,2017,11961,1,26409,0,30,62.8,1.6
15,2017,12500,1,27518,0,30,62.8,1.6
15,2017,11998,1,27553,0,30,62.8,1.6
15,2016,11690,1,28212,3,200,41.5,1.6
15,2013,9790,3,28294,3,205,41.5,1.8
15,2016,11295,1,28781,0,30,62.8,1.6
15,2017,12998,3,29476,3,205,42.8,1.8
15,2011,7995,1,29761,0,145,53.3,2.0
15,2017,12750,1,29973,3,200,41.5,1.6
15,2016,10982,1,30000,3,200,41.5,1.6
15,2013,8995,1,30000,0,125,57.6,2.0
15,2014,9491,1,30437,3,200,42.8,1.6
15,2016,12495,1,30671,0,30,62.8,1.6
15,2016,9990,1,31316,3,205,41.5,1.6
15,2017,15400,0,31556,3,160,43.5,1.8
15,2017,11498,1,31756,0,145,62.8,1.6
15,2017,11498,1,33890,0,30,62.8,1.6
15,2017,14800,0,33989,2,165,43.5,1.8
15,2015,9495,1,34000,3,200,42.8,1.6
15,2017,10998,1,36199,3,205,41.5,1.6
15,2016,12495,3,36318,3,160,43.5,1.8
15,2017,10500,1,36756,3,200,41.5,1.6
15,2015,12500,3,36844,3,165,43.5,1.8
15,2016,11295,1,37305,0,30,62.8,1.6
15,2017,14033,0,37909,3,160,43.5,1.8
15,2015,10495,1,40857,0,30,62.8,1.6
15,2017,14471,3,41345,3,160,43.5,1.8
15,2017,11990,1,41630,0,30,62.8,1.6
15,2015,12750,3,43222,3,165,43.5,1.8
15,2016,9950,1,44098,0,30,62.8,1.6
15,2017,12200,1,44896,3,200,41.5,1.6
15,2017,10650,1,45000,3,150,41.5,1.6
15,2011,6795,1,47570,3,200,41.5,1.6
15,2014,7990,1,51394,0,30,62.8,1.6
15,2011,5995,1,54000,0,145,53.3,2.0
15,2017,9698,1,54761,0,30,62.8,1.6
15,2013,8490,1,55965,3,205,42.8,1.6
15,2012,5995,1,65700,0,145,53.3,2.0
15,2011,5999,1,67085,3,200,41.5,1.6
15,2015,8461,1,73305,0,30,62.8,1.6
15,2011,5899,1,74488,3,200,41.5,1.6
15,2008,3995,1,83000,3,260,36.7,1.8
15,2015,9291,3,88412,3,165,43.5,1.8
15,2003,2395,0,104000,3,300,34.5,1.8
15,2011,3990,1,105000,0,145,53.3,2.0
15,2009,2300,1,131797,0,160,51.4,2.0
