model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
6,2016,16000,1,24089,3,265,36.2,2.0
6,2017,15995,1,18615,3,145,36.2,2.0
6,2015,13998,1,27469,3,265,36.2,2.0
6,2017,18998,1,14736,3,150,36.2,2.0
6,2017,17498,1,36284,3,145,36.2,2.0
6,2017,15998,1,26919,3,260,36.2,2.0
6,2017,18522,1,10456,3,145,36.2,2.0
6,2017,18995,1,12340,3,145,36.2,2.0
6,2020,27998,1,516,3,150,33.2,2.0
6,2016,13990,1,37999,3,265,36.2,2.0
6,2013,10495,1,72000,3,265,36.2,2.0
6,2017,17990,1,12597,3,145,36.2,2.0
6,2017,16995,1,36100,3,145,36.2,2.0
6,2019,23995,1,995,3,145,33.2,2.0
6,2018,18498,1,35228,3,145,36.2,2.0
6,2019,23980,1,1751,3,145,33.2,2.0
6,2017,17995,1,16444,3,265,36.2,2.0
6,2014,12998,1,25499,3,260,36.2,2.0
6,2019,23495,0,3934,3,145,32.8,2.0
6,2019,25780,1,5123,3,145,33.2,2.0
6,2020,26995,3,1500,3,145,32.8,2.0
6,2019,23998,3,913,3,145,32.8,2.0
6,2019,26995,1,2680,3,150,33.2,2.0
6,2017,17000,1,14345,3,150,36.2,2.0
6,2018,19995,1,15525,3,150,36.2,2.0
6,2020,31000,1,3000,3,145,33.2,2.0
6,2016,15995,3,19460,3,200,39.8,2.0
6,2018,18490,1,31231,3,150,36.2,2.0
6,2020,24990,1,339,3,145,33.2,2.0
6,2015,13981,1,30500,3,265,36.2,2.0
6,2015,13991,1,38126,3,260,36.2,2.0
6,2019,27060,0,3348,3,145,32.8,2.0
6,2018,20695,1,5260,3,145,36.2,2.0
6,2019,25999,1,100,3,145,33.2,2.0
6,2013,11575,1,50584,3,265,36.2,2.0
6,2017,20995,1,6445,3,145,36.2,2.0
6,2014,14999,1,18389,3,260,36.2,2.0
6,2019,27000,3,100,3,145,32.8,2.0
6,2016,15000,1,28321,3,265,36.2,2.0
6,2019,22200,3,16241,3,145,32.8,2.0
6,2019,24990,1,3150,3,145,33.2,2.0
6,2019,25995,1,8912,3,145,33.2,2.0
6,2017,19500,1,9639,3,260,36.2,2.0
6,2017,18250,1,20219,3,145,36.2,2.0
6,2019,23995,1,1557,3,150,33.2,2.0
6,2016,17500,1,14000,3,260,36.2,2.0
6,2019,23997,1,4500,3,145,33.2,2.0
6,2017,17102,1,21000,3,260,36.2,2.0
6,2019,24995,1,2488,3,145,33.2,2.0
6,2017,19995,1,26000,3,145,36.2,2.0
6,2020,29769,1,999,3,145,33.2,2.0
6,2019,25850,1,4442,3,145,33.2,2.0
6,2014,13495,1,24667,3,265,36.2,2.0
6,2017,18495,3,13930,3,150,39.8,2.0
6,2020,25499,1,614,3,145,33.2,2.0
6,2017,18621,1,18544,3,150,36.2,2.0
6,2019,25121,1,7056,3,145,33.2,2.0
6,2017,17500,1,11898,3,145,36.2,2.0
6,2013,11599,0,28335,3,200,39.8,2.0
6,2017,17249,1,10089,3,145,36.2,2.0
6,2020,25995,1,3250,3,145,33.2,2.0
6,2014,13000,1,39761,3,265,36.2,2.0
6,2017,17250,1,19420,3,145,36.2,2.0
6,2019,27950,1,489,3,145,33.2,2.0
6,2020,27995,1,1055,3,145,33.2,2.0
6,2016,13999,1,19987,3,260,36.2,2.0
6,2012,9995,0,74599,3,200,39.8,2.0
6,2015,10499,0,81206,3,200,39.8,2.0
6,2012,11995,1,53000,3,250,36.2,2.0
6,2015,13495,1,49000,3,265,36.2,2.0
6,2019,24990,0,4000,3,145,32.8,2.0
6,2017,19500,1,6725,3,145,36.2,2.0
6,2020,28000,1,650,3,145,33.2,2.0
5,2019,22500,0,8006,2,140,85.6,1.8
5,2005,1300,1,129000,3,260,36.7,1.8
5,2019,20250,0,7445,1,140,85.6,1.8
5,2020,26980,0,5000,1,135,72.4,2.0
5,2019,21995,0,8789,1,135,85.6,1.8
5,2019,18995,1,2193,3,145,39.2,1.2
5,2019,22498,0,9798,1,135,78.5,1.8
5,2019,20998,0,8442,1,135,85.6,1.8
5,2019,27990,0,3650,1,135,72.4,2.0
5,2019,22520,0,7666,1,135,85.6,1.8
5,2019,17440,1,6346,3,145,39.2,1.2
5,2019,22990,0,9000,1,135,78.5,1.8
5,2019,25570,0,3196,1,135,72.4,2.0
5,2019,19998,0,1992,1,135,85.6,1.8
5,2019,23990,0,9500,1,135,78.5,1.8
5,2019,19995,0,12158,1,135,85.6,1.8
5,2019,24995,0,5500,1,135,72.4,2.0
5,2019,24995,0,1350,1,135,72.4,2.0
5,2019,23440,0,5000,1,135,78.5,1.8
5,2019,21990,0,9278,1,135,85.6,1.8
5,2019,20990,0,5000,1,135,85.6,1.8
5,2019,19990,0,10500,1,135,85.6,1.8
5,2019,21995,0,9100,1,135,58.9,1.8
5,2019,22070,0,9304,1,135,78.5,1.8
5,2019,22490,0,9500,1,135,85.6,1.8
5,2019,15990,1,3500,3,145,39.2,1.2
5,2019,21998,0,9023,1,135,72.4,2.0
5,2019,22075,0,9684,1,135,85.6,1.8
5,2020,28990,0,2000,1,140,53.3,2.0
5,2019,16995,1,6503,3,145,39.2,1.2
5,2019,18498,1,5087,3,145,39.2,1.2
5,2019,25995,0,1751,1,135,72.4,2.0
5,2019,24998,0,6195,1,140,72.4,2.0
5,2019,23500,0,4720,1,135,78.5,1.8
5,2019,21750,0,2839,1,135,85.6,1.8
5,2019,21000,0,11408,1,135,85.6,1.8
5,2019,23000,0,6788,1,135,85.6,1.8
5,2019,25000,0,2430,1,140,78.5,1.8
5,2019,23000,0,3579,1,135,72.4,2.0
5,2019,24000,0,6415,1,135,72.4,2.0
5,2019,22500,0,9493,1,135,78.5,1.8
5,2019,22790,0,5830,1,135,72.4,2.0
5,2019,22790,0,9781,1,135,72.4,2.0
5,2019,21490,0,8950,1,135,72.4,2.0
5,2019,17250,1,12000,3,145,39.2,1.2
5,2019,15998,1,7016,3,145,39.2,1.2
5,2019,20498,0,13872,1,140,72.4,2.0
5,2019,15990,1,2336,3,145,39.2,1.2
5,2019,20488,0,3892,1,140,58.9,1.8
5,2019,20288,1,4886,3,150,39.2,1.2
5,2019,17995,1,9770,3,145,39.2,1.2
5,2019,16490,1,8599,3,145,39.2,1.2
5,2019,15990,1,5346,3,145,39.2,1.2
5,2019,18290,1,3250,3,145,39.2,1.2
5,2019,19998,1,4290,3,150,39.2,1.2
5,2019,23888,0,3497,1,140,72.4,2.0
5,2019,15990,1,6449,3,145,39.2,1.2
5,2020,27495,0,998,1,135,53.3,2.0
5,2019,23448,0,3988,1,135,72.4,2.0
5,2019,22990,0,5268,1,135,72.4,2.0
5,2019,18295,1,1110,3,145,39.2,1.2
5,2019,18995,1,1436,3,145,39.2,1.2
5,2019,21490,0,9296,1,135,58.9,1.8
5,2019,22790,0,8322,1,135,72.4,2.0
5,2019,17490,1,9000,3,145,39.2,1.2
5,2019,24388,0,8000,1,135,72.4,2.0
5,2020,25988,0,10000,1,135,53.3,2.0
5,2019,16490,1,8328,3,145,39.2,1.2
5,2019,21790,0,10836,1,135,78.5,1.8
5,2019,16490,1,4890,3,145,39.2,1.2
5,2019,24790,0,5651,1,140,72.4,2.0
5,2019,21490,0,9735,1,135,78.5,1.8
5,2019,18495,1,8514,3,145,39.2,1.2
5,2019,18495,1,4774,3,145,39.2,1.2
5,2019,24995,0,7500,1,140,58.9,1.8
5,2019,16995,1,3000,3,145,39.2,1.2
5,2019,22790,0,12501,1,135,72.4,2.0
5,2020,25990,0,6124,1,135,53.3,2.0
5,2019,21490,0,10124,1,135,85.6,1.8
5,2019,21490,0,9107,1,135,72.4,2.0
5,2019,23698,0,2535,1,135,72.4,2.0
5,2020,22990,0,2797,1,135,62.8,1.8
5,2020,26490,0,1879,1,135,53.3,2.0
5,2020,25490,0,1697,1,135,56.5,1.8
5,2019,22990,0,13410,1,135,72.4,2.0
5,2019,19990,1,4332,3,150,39.2,1.2
5,2019,20990,1,8503,3,150,39.2,1.2
5,2019,17890,1,3695,3,150,39.2,1.2
5,2019,18995,1,2579,3,145,39.2,1.2
5,2019,17990,1,6057,3,145,39.2,1.2
5,2019,18690,1,2907,3,145,39.2,1.2
5,2019,16990,1,7134,3,145,39.2,1.2
5,2019,16990,1,25,3,145,39.2,1.2
5,2019,22727,0,4451,1,135,72.4,2.0
5,2019,20995,0,5668,1,135,72.4,2.0
5,2019,20995,0,5250,1,135,85.6,1.8
5,2019,22290,0,4633,1,140,78.5,1.8
5,2019,16490,1,9625,3,145,39.2,1.2
5,2019,19790,0,5804,1,135,85.6,1.8
5,2019,15790,1,10000,3,145,39.2,1.2
5,2019,17480,1,9999,3,145,39.2,1.2
5,2020,24980,0,5000,1,135,57.7,1.8
5,2019,18990,1,3860,3,145,39.2,1.2
5,2019,21495,0,9004,1,135,85.6,1.8
5,2019,17960,1,4500,3,145,39.2,1.2
5,2019,17960,1,4500,3,145,39.2,1.2
5,2019,23995,0,5784,1,135,72.4,2.0
5,2019,17995,1,6551,3,145,39.2,1.2
5,2019,24795,0,6770,1,135,72.4,2.0
5,2019,18995,1,500,3,145,39.2,1.2
5,2019,19995,1,500,3,145,39.2,1.2
5,2019,22595,0,10500,1,135,72.4,2.0
5,2019,25595,0,1215,1,135,78.5,1.8
5,2019,23445,0,5558,1,135,78.5,1.8
5,2019,23395,0,6125,1,135,78.5,1.8
5,2019,23445,0,2620,1,135,78.5,1.8
5,2019,24998,0,2474,1,140,72.4,2.0
5,2019,23498,0,6513,1,140,78.5,1.8
5,2019,23995,0,6989,1,135,72.4,2.0
5,2019,22995,0,11000,1,140,72.4,2.0
5,2019,22995,0,3754,1,135,78.5,1.8
5,2020,28815,0,987,1,140,53.3,2.0
5,2019,19995,0,11293,1,135,85.6,1.8
5,2019,19995,0,5674,1,140,85.6,1.8
5,2019,23995,0,9250,1,135,72.4,2.0
5,2019,23495,1,5600,3,145,39.2,1.2
5,2020,27995,0,2500,1,135,53.3,2.0
5,2019,21000,0,11449,1,140,78.5,1.8
5,2020,28000,0,10,1,140,56.5,1.8
5,2019,17999,1,3510,3,145,39.2,1.2
5,2019,20497,0,4412,1,135,78.5,1.8
5,2019,23500,0,10016,1,135,78.5,1.8
5,2019,21665,0,11051,1,135,85.6,1.8
5,2019,21280,1,5102,3,145,39.2,1.2
5,2019,24960,0,2535,1,135,72.4,2.0
5,2019,19540,1,8970,3,145,39.2,1.2
5,2019,20110,0,5922,1,135,85.6,1.8
5,2019,23060,0,15631,1,135,72.4,2.0
5,2020,26991,0,3636,1,140,53.3,2.0
5,2019,22900,0,5910,1,135,85.6,1.8
5,2019,24025,0,8812,1,135,78.5,1.8
5,2019,26495,0,1000,1,135,72.4,2.0
5,2019,27795,0,1000,1,135,72.4,2.0
5,2019,22999,0,4113,1,135,85.6,1.8
