model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0,2015,12250,0,50920,1,0,76.4,1.8
0,2016,13000,0,38409,1,0,78.5,1.8
0,2016,14960,0,28121,1,0,70.6,1.8
0,2013,12200,0,29243,1,0,74.3,1.8
0,2013,5995,1,79304,3,145,49.6,1.6
0,2015,10995,0,53042,1,0,72.4,1.8
0,2015,13000,0,38876,1,0,70.6,1.8
0,2014,7498,1,30805,3,125,51.4,1.3
0,2015,12495,0,39964,1,0,78.5,1.8
0,2016,9985,1,27600,3,30,58.9,1.2
0,2016,9985,1,27600,3,30,58.9,1.2
0,2015,9225,1,42588,3,125,52.3,1.2
0,2017,12495,1,16589,3,145,52.3,1.2
0,2013,13995,0,12208,1,0,70.6,1.8
0,2016,10995,1,19252,3,30,58.9,1.2
0,2016,8995,1,53042,0,20,67.3,1.6
0,2016,12495,0,33487,1,0,78.5,1.8
0,2017,13495,1,4897,3,145,52.3,1.2
0,2014,11498,0,22409,1,0,74.3,1.8
0,2016,15795,0,27405,1,0,78.5,1.8
0,2015,11498,0,43451,1,0,72.4,1.8
0,2017,10698,1,19975,0,150,67.3,1.6
0,2015,12490,0,21432,1,0,72.4,1.8
0,2015,12890,0,21432,1,0,72.4,1.8
0,2015,7995,1,66532,0,20,67.3,1.6
0,2017,15895,0,27222,1,0,78.5,1.8
0,2015,15995,0,8200,1,0,70.6,1.8
0,2015,10698,0,58680,1,0,74.3,1.8
0,2016,10795,1,37931,3,125,52.3,1.2
0,2016,10795,1,28150,3,30,58.9,1.2
0,2016,9995,1,61705,0,20,67.3,1.6
0,2016,12995,0,42208,1,0,72.4,1.8
0,2016,9695,1,19608,0,20,67.3,1.6
0,2017,9998,1,14425,3,30,58.9,1.2
0,2016,11998,0,33126,1,0,78.5,1.8
0,2015,11498,0,43105,1,0,72.4,1.8
0,2016,8498,1,26469,0,20,67.3,1.6
0,2017,11290,0,11740,3,20,61.4,1.2
0,2014,6498,1,75130,0,0,74.3,1.4
0,2016,9998,1,16576,3,125,52.3,1.2
0,2014,9498,1,12699,3,145,46.3,1.6
0,2015,8998,1,12896,3,125,51.4,1.3
0,2017,13498,0,30468,1,135,72.4,1.8
0,2016,10495,1,55360,0,20,67.3,1.6
0,2016,12998,0,26228,1,0,78.5,1.8
0,2016,8498,1,54815,3,125,52.3,1.2
0,2017,9298,1,28751,3,145,51.4,1.3
0,2018,14498,0,44562,1,140,78.5,1.8
0,2014,13298,0,30827,1,0,70.6,1.8
0,2017,9698,1,48278,0,20,67.3,1.6
0,2015,14498,0,11313,1,0,76.4,1.8
0,2018,15990,0,12300,1,135,80.7,1.8
0,2014,12990,0,34922,1,0,70.6,1.8
0,2017,12998,0,27000,1,0,72.4,1.8
0,2017,14998,0,21202,1,135,72.4,1.8
0,2014,11490,0,48125,1,0,76.4,1.8
0,2017,9998,1,26677,3,150,58.9,1.2
0,2017,13998,0,28453,1,135,78.5,1.8
0,2014,9995,0,52525,1,0,72.4,1.8
0,2017,10998,1,11849,3,145,58.9,1.2
0,2014,7998,1,32907,3,145,46.3,1.6
0,2016,7995,1,95570,0,20,67.3,1.6
0,2016,13990,0,18688,1,0,78.5,1.8
0,2017,11995,0,29353,3,20,61.4,1.2
0,2016,10495,1,19300,3,30,58.9,1.2
0,2016,13990,0,25862,1,0,78.5,1.8
0,2018,16970,0,35394,1,135,65.6,1.8
0,2017,14990,0,10687,1,0,78.5,1.8
0,2017,15570,0,28865,1,0,78.5,1.8
0,2016,8995,1,47000,0,0,83.1,1.4
0,2018,14770,0,19365,1,135,68.8,1.8
0,2013,8990,0,74745,1,0,72.4,1.8
0,2017,15990,0,29771,1,0,70.6,1.8
0,2017,16570,0,7350,1,135,72.4,1.8
0,2017,10498,1,28102,3,30,58.9,1.2
0,2017,13498,0,63652,1,0,78.5,1.8
0,2017,11498,1,13432,3,125,52.3,1.2
0,2013,9495,0,52890,1,0,72.4,1.8
0,2016,9995,1,22210,3,30,58.9,1.2
0,2015,12995,0,44798,1,0,70.6,1.8
0,2014,10998,0,40618,1,0,76.4,1.8
0,2014,7527,1,23887,3,125,51.4,1.3
0,2017,11998,0,3589,3,20,61.4,1.2
0,2016,13495,0,25143,1,0,78.5,1.8
0,2017,14298,0,5631,1,140,78.5,1.8
0,2016,7998,1,50240,0,20,67.3,1.6
0,2017,8495,1,68219,3,30,58.9,1.2
0,2016,7998,1,55980,0,20,67.3,1.6
0,2017,14998,0,16565,1,140,78.5,1.8
0,2016,8498,1,45495,0,20,65.7,1.6
0,2016,12986,0,17884,1,0,78.5,1.8
0,2018,14188,0,25797,1,135,68.8,1.8
0,2016,13722,0,11964,1,0,78.5,1.8
0,2015,9995,0,63911,1,0,76.4,1.8
0,2013,5995,1,55045,3,150,46.3,1.6
0,2016,12695,0,35358,1,0,78.5,1.8
0,2017,11700,0,63996,1,135,78.5,1.8
0,2014,8995,0,76000,1,0,72.4,1.8
0,2013,9995,0,23000,1,0,74.3,1.8
0,2017,8998,1,29798,3,30,58.9,1.2
0,2015,12995,0,30718,1,0,72.4,1.8
0,2014,10990,0,53000,1,0,70.6,1.8
0,2017,13890,0,15000,1,0,78.5,1.8
0,2015,12495,0,47100,1,0,72.4,1.8
0,2015,12495,0,33301,1,0,76.4,1.8
0,2017,13595,0,50839,1,0,78.5,1.8
0,2016,9998,1,23169,3,30,58.9,1.2
0,2015,10888,0,38441,1,0,76.4,1.8
0,2015,12495,0,33203,1,0,76.4,1.8
0,2016,16495,0,18085,1,0,70.6,1.8
0,2017,10495,1,38716,3,145,58.9,1.2
0,2016,15495,0,30505,1,0,78.5,1.8
0,2017,14795,0,13727,1,0,78.5,1.8
0,2018,11995,1,19904,3,145,52.3,1.2
0,2016,9495,1,29641,0,0,80.7,1.4
0,2015,11750,0,36755,1,0,76.4,1.8
0,2017,11250,1,11529,3,30,58.9,1.2
0,2016,14000,0,14761,1,0,78.5,1.8
0,2016,12998,0,46162,1,0,78.5,1.8
0,2017,11250,1,13452,0,145,65.7,1.6
0,2018,13000,1,16230,3,150,51.3,1.2
0,2017,9500,1,38613,3,30,58.9,1.2
0,2017,12798,0,38991,1,135,78.5,1.8
0,2018,14698,0,26827,1,135,68.8,1.8
0,2017,17780,0,14753,1,135,70.6,1.8
0,2016,13980,0,42171,1,0,78.5,1.8
0,2017,15000,0,47141,1,0,78.5,1.8
0,2015,13490,0,46752,1,0,70.6,1.8
0,2015,7965,1,47218,0,0,74.3,1.4
0,2016,9288,1,39123,3,30,58.9,1.2
0,2016,10999,0,72963,1,0,78.5,1.8
0,2017,14490,0,24329,1,135,72.4,1.8
0,2015,11891,0,44500,1,0,72.4,1.8
0,2017,14998,0,28358,1,135,72.4,1.8
0,2015,11790,0,47474,1,0,78.5,1.8
0,2017,11290,1,12890,3,150,51.4,1.2
0,2017,10980,1,13394,3,125,52.3,1.2
0,2017,14788,0,17948,1,135,72.4,1.8
0,2013,9988,0,34230,1,0,72.4,1.8
0,2016,9295,1,34455,3,125,52.3,1.2
0,2014,11288,0,31956,1,0,72.4,1.8
0,2017,14788,0,23021,1,0,72.4,1.8
0,2018,17695,0,15100,1,140,65.6,1.8
0,2015,12295,0,30973,1,0,76.4,1.8
0,2014,6700,1,47300,3,150,47.9,1.6
0,2014,11480,0,38937,1,0,76.4,1.8
0,2017,13995,0,17104,1,0,78.5,1.8
0,2016,12950,0,40648,1,0,78.5,1.8
0,2017,15495,0,21839,1,135,72.4,1.8
0,2017,10498,1,15770,3,30,58.9,1.2
0,2017,16988,0,9998,1,0,78.5,1.8
0,2017,14480,0,37452,1,0,72.4,1.8
0,2018,10990,1,20100,3,145,52.3,1.2
0,2016,11990,0,15459,3,125,53.3,1.2
0,2017,13990,0,26082,1,135,78.5,1.8
0,2015,10995,1,31500,3,125,52.3,1.2
0,2017,15880,0,25600,1,0,70.6,1.8
0,2017,13998,0,15424,1,0,78.5,1.8
0,2017,10795,1,25000,3,30,58.9,1.2
0,2017,12990,0,48532,1,140,78.5,1.8
0,2018,17190,0,22382,1,140,65.6,1.8
0,2016,13295,0,31453,1,0,78.5,1.8
0,2017,9995,1,24392,3,30,58.9,1.2
