model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1,2012,8750,0,40796,3,205,42.2,1.8
1,2017,12498,1,24705,3,145,47.1,1.8
1,2017,12698,1,21431,3,145,47.1,1.8
1,2015,9998,1,19363,0,20,67.3,1.6
1,2016,9295,1,56501,0,20,67.3,1.6
1,2017,11998,1,27196,3,145,47.1,1.8
1,2016,11503,1,63956,0,30,62.8,2.0
1,2015,8776,1,57995,0,20,67.3,1.6
1,2013,7498,1,57480,0,30,62.8,2.0
1,2016,11495,1,40889,0,20,67.3,1.6
1,2017,11795,1,37983,0,145,67.3,1.6
1,2016,10995,1,55086,0,20,67.3,1.6
1,2018,12998,0,35507,3,145,44.1,1.8
1,2016,9995,1,61300,0,20,67.3,1.6
1,2018,14495,1,31174,0,145,61.4,2.0
1,2017,13998,1,11855,3,145,47.1,1.8
1,2018,13695,1,37191,0,145,67.3,1.6
1,2018,12995,1,32236,0,145,67.3,1.6
1,2016,10895,1,30879,0,20,67.3,1.6
1,2017,11695,1,36245,0,145,67.3,1.6
1,2015,9998,1,28434,0,20,67.3,1.6
1,2017,13498,1,14458,3,150,43.5,1.8
1,2016,13298,1,15118,3,160,45.6,1.8
1,2016,11498,1,34501,3,145,47.1,1.8
1,2017,11298,1,53675,3,150,47.1,1.8
1,2017,13298,1,22758,3,150,43.5,1.8
1,2016,10995,1,58260,0,30,62.8,2.0
1,2014,7498,1,37618,0,30,62.8,2.0
1,2016,12498,0,20251,3,145,46.3,1.8
1,2017,11995,1,16355,0,20,67.3,1.6
1,2017,11998,1,36961,3,145,47.1,1.8
1,2017,12995,1,35650,3,145,47.1,1.8
1,2017,12498,1,24459,3,145,47.1,1.8
1,2016,12498,1,32189,3,160,45.6,1.8
1,2017,11341,1,43980,0,145,67.3,1.6
1,2018,12568,1,18514,0,150,67.3,1.6
1,2017,11645,1,22640,0,20,67.3,1.6
1,2017,10595,1,35939,0,145,67.3,1.6
1,2017,10595,1,35939,0,145,67.3,1.6
1,2018,12295,1,31427,0,145,67.3,1.6
1,2018,12667,1,18785,0,145,67.3,1.6
1,2017,13486,1,29271,3,145,45.6,1.8
1,2017,14999,1,18089,3,145,45.6,1.8
1,2017,13500,0,22141,3,145,46.3,1.8
1,2018,12000,1,25883,0,145,67.3,1.6
1,2018,11590,1,40875,0,145,67.3,1.6
1,2016,7899,1,40149,0,20,67.3,1.6
1,2017,13295,0,14824,3,145,46.3,1.8
1,2016,9990,1,19862,0,20,67.3,1.6
1,2015,9065,1,42238,0,30,62.8,2.0
1,2018,11290,1,46168,0,150,67.3,1.6
1,2017,13295,0,31774,3,145,46.3,1.8
1,2016,11495,1,29210,3,145,47.1,1.8
1,2016,8420,1,41257,0,20,67.3,1.6
1,2014,10000,1,28274,0,30,62.8,2.0
1,2017,11495,1,31141,0,145,58.9,2.0
1,2016,9499,1,29535,0,20,67.3,1.6
1,2017,13764,0,40130,3,145,47.1,1.8
1,2016,9192,1,60017,0,20,67.3,1.6
1,2015,10399,1,11653,0,30,62.8,2.0
1,2015,7495,1,71000,0,30,61.4,2.0
1,2018,13500,1,34505,0,145,67.3,1.6
1,2017,11199,1,51681,0,145,61.4,2.0
1,2016,10191,1,31912,0,20,67.3,1.6
1,2014,9130,3,15000,3,205,42.8,1.8
1,2016,14495,0,17781,3,165,47.1,1.8
1,2015,7490,3,56093,0,240,44.1,2.2
1,2016,7395,1,86021,0,20,67.3,1.6
1,2016,9590,1,47996,0,20,67.3,1.6
1,2014,7250,1,65000,0,30,62.8,2.0
1,2015,8600,1,69426,0,30,61.4,2.0
1,2017,9692,1,59097,0,20,67.3,1.6
1,2018,16495,0,20989,3,145,47.1,1.8
1,2017,16495,0,18953,3,160,47.1,1.8
1,2017,14454,1,9324,3,145,47.1,1.8
1,2015,8495,1,51500,0,30,61.4,2.0
