model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2,2017,9250,1,4414,2,150,68.9,1.0
2,2017,7100,1,32351,3,0,68.9,1.0
2,2016,6500,1,26193,3,0,69.0,1.0
2,2017,7650,1,12134,3,0,68.9,1.0
2,2016,6999,1,21123,3,0,69.0,1.0
2,2015,6495,1,33931,3,0,69.0,1.0
2,2018,8998,3,19885,3,145,67.3,1.0
2,2017,6998,1,36975,3,145,68.9,1.0
2,2017,6698,1,58008,3,145,68.9,1.0
2,2017,7498,1,40405,3,145,68.9,1.0
2,2017,6800,1,32725,3,145,68.9,1.0
2,2017,7498,1,14257,3,145,68.9,1.0
2,2019,9998,1,3291,3,145,56.5,1.0
2,2017,7998,1,11675,3,0,68.9,1.0
2,2019,9498,1,2807,3,145,56.5,1.0
2,2014,5985,1,24176,3,0,69.0,1.0
2,2017,6522,1,30025,3,0,69.0,1.0
2,2016,6995,1,13171,3,0,69.0,1.0
2,2017,6995,1,10172,3,145,69.0,1.0
2,2017,7495,1,20253,3,145,68.9,1.0
2,2017,6895,1,8583,3,150,69.0,1.0
2,2016,6995,1,18842,3,0,69.0,1.0
2,2017,6995,1,9914,3,145,69.0,1.0
2,2017,6795,1,19150,3,150,69.0,1.0
2,2016,6495,1,19780,3,0,69.0,1.0
2,2017,7395,1,19502,3,150,68.9,1.0
2,2017,7995,1,9976,3,150,68.9,1.0
2,2017,6522,1,28033,3,0,69.0,1.0
2,2017,6495,1,24882,3,0,69.0,1.0
2,2017,6995,1,8932,3,145,69.0,1.0
2,2016,5995,1,31473,3,0,69.0,1.0
2,2019,10995,1,355,3,145,57.7,1.0
2,2019,9998,1,6721,3,145,57.7,1.0
2,2017,8495,0,23589,3,0,67.0,1.0
2,2019,10295,1,2865,3,145,57.7,1.0
2,2018,8890,1,6275,3,145,56.5,1.0
2,2017,6798,1,13036,3,0,69.0,1.0
2,2017,7498,1,13046,3,145,68.9,1.0
2,2017,7998,1,11468,3,150,68.9,1.0
2,2019,9260,1,150,3,145,56.5,1.0
2,2016,6295,1,9000,3,0,69.0,1.0
2,2017,7298,1,27268,3,145,69.0,1.0
2,2017,7498,1,30001,3,145,68.9,1.0
2,2019,9995,1,148,3,145,56.5,1.0
2,2019,10995,3,390,3,145,55.4,1.0
2,2017,7498,1,25186,3,0,68.9,1.0
2,2017,9298,3,10559,3,145,67.3,1.0
2,2014,5698,1,53501,3,0,69.0,1.0
2,2019,9998,1,2347,3,145,56.5,1.0
2,2017,7498,1,31693,3,145,68.9,1.0
2,2016,6998,1,21145,3,0,69.0,1.0
2,2014,4290,1,31010,3,0,65.7,1.0
2,2014,4998,1,27809,3,0,65.7,1.0
2,2017,6498,1,24512,3,0,69.0,1.0
2,2019,8998,1,21786,3,145,56.5,1.0
2,2016,6998,1,31501,3,0,69.0,1.0
2,2017,7498,1,29978,3,150,68.9,1.0
2,2016,6498,1,23901,3,0,69.0,1.0
2,2018,8498,3,41626,3,150,67.3,1.0
2,2017,7998,1,8150,3,150,68.9,1.0
2,2016,6498,1,25065,3,0,69.0,1.0
2,2014,5498,1,36320,3,0,69.0,1.0
2,2017,8498,1,7287,3,145,68.9,1.0
2,2017,7498,1,25413,3,150,68.9,1.0
