model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
3,2017,20500,0,26779,1,0,74.3,1.8
3,2017,20500,0,18079,1,0,74.3,1.8
3,2019,26250,0,3045,1,140,74.3,1.8
3,2017,19965,0,18000,1,0,74.3,1.8
3,2017,17998,0,18295,1,135,74.3,1.8
3,2019,19495,1,11759,3,145,41.5,1.2
3,2018,17998,0,18657,1,135,74.3,1.8
3,2017,13298,1,24254,3,150,47.9,1.2
3,2019,16495,1,14372,3,145,41.5,1.2
3,2018,19995,0,16182,1,135,74.3,1.8
3,2017,20391,0,31974,1,0,74.3,1.8
3,2017,15495,1,29557,3,145,47.9,1.2
3,2018,20998,0,27931,1,135,74.3,1.8
3,2017,13998,1,33745,3,150,47.1,1.2
3,2019,17995,1,5905,3,145,41.5,1.2
3,2018,20995,0,14735,3,145,44.8,1.2
3,2017,18495,0,8100,3,145,47.9,1.2
3,2018,16995,1,13280,3,145,47.1,1.2
3,2017,20498,0,23988,1,0,74.3,1.8
3,2018,21998,0,22217,1,135,74.3,1.8
3,2018,17995,0,14800,3,145,47.9,1.2
3,2018,20995,0,23406,1,140,74.3,1.8
3,2019,22498,0,17288,1,135,74.3,1.8
3,2019,22498,0,14893,1,135,74.3,1.8
3,2017,13998,1,24612,3,145,47.9,1.2
3,2017,16498,1,22957,3,150,47.1,1.2
3,2017,18998,0,24773,1,135,74.3,1.8
3,2018,21998,0,9501,1,135,74.3,1.8
3,2019,22498,0,16690,1,135,74.3,1.8
3,2019,23998,0,9228,1,135,74.3,1.8
3,2017,15998,1,32770,3,150,47.1,1.2
3,2017,16998,0,24717,1,0,74.3,1.8
3,2018,22498,0,10491,1,135,74.3,1.8
3,2019,22498,0,21566,1,135,74.3,1.8
3,2017,18998,0,16451,3,160,44.8,1.2
3,2018,20498,0,38908,1,140,74.3,1.8
3,2019,27440,0,2905,1,135,57.7,1.8
3,2019,25998,0,2996,1,135,74.3,1.8
3,2018,22990,0,11911,1,135,74.3,1.8
3,2017,16998,0,28183,1,135,74.3,1.8
3,2018,23440,0,12814,1,135,74.3,1.8
3,2018,20690,0,9246,1,135,74.3,1.8
3,2020,26995,0,2500,1,135,54.3,2.0
3,2019,24495,0,1100,1,135,74.3,1.8
3,2017,18498,0,52625,1,0,74.3,1.8
3,2019,22998,0,20786,1,135,74.3,1.8
3,2017,15798,1,28761,3,150,47.1,1.2
3,2017,16995,0,42520,1,0,74.3,1.8
3,2017,17990,0,29626,3,145,44.8,1.2
3,2019,18998,1,13044,3,145,41.5,1.2
3,2018,17798,0,22418,1,135,74.3,1.8
3,2017,18995,0,26955,1,0,74.3,1.8
3,2018,21995,0,21995,1,135,74.3,1.8
3,2018,23990,0,5810,1,135,74.3,1.8
3,2018,23990,0,5500,1,135,74.3,1.8
3,2017,20998,0,11610,1,0,74.3,1.8
3,2019,23995,0,10880,1,135,74.3,1.8
3,2017,17295,0,42520,1,0,74.3,1.8
3,2017,20970,0,21278,1,135,74.3,1.8
3,2017,21990,0,19741,1,135,74.3,1.8
3,2019,27490,0,3800,1,140,57.7,1.8
3,2019,30990,0,2500,1,140,54.3,2.0
3,2018,16998,0,30239,1,135,74.3,1.8
3,2018,16998,1,25414,3,145,41.5,1.2
3,2019,23298,0,9347,1,140,74.3,1.8
3,2018,23490,0,5000,1,135,74.3,1.8
3,2017,20995,0,17697,1,135,74.3,1.8
3,2018,18070,1,37003,3,145,41.5,1.2
3,2017,19495,0,22508,1,0,74.3,1.8
3,2019,23995,0,10532,1,135,74.3,1.8
3,2018,17498,0,26078,1,135,74.3,1.8
3,2018,17498,0,27450,1,135,74.3,1.8
3,2018,17798,0,24248,1,135,74.3,1.8
3,2018,19998,0,2092,3,150,34.5,1.2
3,2018,17998,0,18147,1,135,74.3,1.8
3,2017,16998,0,27304,1,135,74.3,1.8
3,2017,16498,1,12850,3,150,47.1,1.2
3,2017,17998,0,23692,3,145,44.8,1.2
3,2017,17298,0,11772,3,145,47.9,1.2
3,2019,23498,0,2920,1,140,57.7,1.8
3,2017,13395,1,21922,3,150,47.9,1.2
3,2017,19998,0,23515,1,135,74.3,1.8
3,2019,24998,0,1379,1,140,54.3,2.0
3,2017,13588,1,44311,3,150,47.1,1.2
3,2018,20795,0,13741,1,140,74.3,1.8
3,2017,19999,0,32058,1,0,74.3,1.8
3,2017,16060,1,17841,3,145,47.1,1.2
3,2017,19543,0,27310,1,0,74.3,1.8
3,2018,16995,1,15046,3,145,47.1,1.2
3,2017,16985,0,26656,3,150,47.9,1.2
3,2017,13490,1,25200,3,145,47.9,1.2
3,2017,13450,1,13752,3,145,47.9,1.2
3,2018,19495,0,13302,1,135,74.3,1.8
3,2017,16495,0,30024,1,135,74.3,1.8
3,2018,16990,0,8493,3,145,47.9,1.2
3,2018,19995,0,24547,1,140,74.3,1.8
3,2016,20495,0,20262,1,0,74.3,1.8
3,2018,20995,0,8661,1,135,74.3,1.8
3,2017,19995,0,30083,1,0,74.3,1.8
3,2019,22995,1,2265,3,145,41.5,1.2
3,2017,16995,1,28973,3,145,47.1,1.2
3,2017,17495,0,23474,3,160,44.8,1.2
3,2019,26000,0,6015,1,135,57.7,1.8
3,2018,22000,0,24417,1,135,74.3,1.8
3,2018,22000,0,8813,1,135,74.3,1.8
3,2018,21750,0,17000,1,135,74.3,1.8
3,2017,17700,0,18851,1,0,74.3,1.8
3,2018,14500,1,30000,3,145,47.9,1.2
3,2017,17498,1,14429,3,150,47.1,1.2
3,2017,17498,0,23971,1,140,74.3,1.8
3,2018,21980,0,12976,1,140,74.3,1.8
3,2018,18995,0,27195,1,135,74.3,1.8
3,2019,19390,1,3544,3,145,41.5,1.2
3,2016,15765,1,28118,3,145,47.1,1.2
3,2018,17995,1,17214,3,145,47.1,1.2
3,2019,22498,0,8758,1,135,74.3,1.8
3,2019,22788,0,9264,1,135,74.3,1.8
3,2018,21888,0,11819,1,135,74.3,1.8
3,2017,12995,1,44720,3,150,47.9,1.2
3,2019,25288,0,3456,1,140,74.3,1.8
3,2018,20997,0,31586,1,135,74.3,1.8
3,2018,21888,0,10565,1,135,74.3,1.8
3,2018,17798,0,20691,1,135,74.3,1.8
3,2018,17998,0,16994,1,135,74.3,1.8
3,2019,21928,0,9909,1,135,74.3,1.8
3,2017,20489,0,14889,1,0,74.3,1.8
3,2019,28890,0,2562,1,135,54.3,2.0
3,2020,26980,0,2448,1,140,57.7,1.8
3,2017,20495,0,21758,1,0,74.3,1.8
3,2017,13998,1,32021,3,145,47.9,1.2
3,2018,17798,0,20400,1,135,74.3,1.8
3,2017,19988,0,29031,1,0,74.3,1.8
3,2019,25290,0,11635,1,135,74.3,1.8
3,2017,13995,1,38500,3,145,47.9,1.2
3,2018,15990,1,16120,3,150,41.5,1.2
3,2017,17495,0,10000,3,145,47.9,1.2
3,2017,22195,0,12215,1,0,74.3,1.8
3,2017,17700,0,39467,1,0,74.3,1.8
3,2017,17395,0,7325,1,140,74.3,1.8
3,2017,21844,0,26127,1,135,74.3,1.8
3,2017,21245,0,20122,1,0,74.3,1.8
3,2018,20690,0,11074,1,140,74.3,1.8
3,2017,21990,0,13791,1,0,74.3,1.8
3,2020,28990,0,1265,1,135,54.3,2.0
3,2019,23790,0,7248,1,135,74.3,1.8
3,2018,21490,0,19404,1,135,74.3,1.8
3,2017,21490,0,11221,1,135,74.3,1.8
3,2018,21990,0,7310,1,135,74.3,1.8
