model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
7,2018,20998,1,13099,0,260,40.4,2.4
7,2016,13695,1,69921,0,260,40.4,2.4
7,2017,18250,1,32000,0,260,40.4,2.4
7,2014,11495,1,88912,0,260,38.7,2.5
7,2019,28495,0,3350,0,260,2.8,2.4
7,2018,23995,1,12086,0,260,40.4,2.4
7,2018,23698,0,21189,0,260,36.2,2.4
7,2018,22998,1,12335,0,260,40.4,2.4
7,2016,19498,0,30848,0,260,32.8,3.0
7,2019,31198,0,18645,0,260,36.2,2.4
7,2016,15498,0,55883,0,260,32.8,3.0
7,2019,25998,0,23160,0,260,36.2,2.4
7,2018,20998,0,15146,0,260,36.2,2.4
7,2016,19990,1,28521,0,260,40.4,2.4
7,2020,18495,1,50,0,260,2.8,2.4
7,2020,23495,1,100,0,260,2.8,2.4
7,2017,18995,1,53830,0,260,40.4,2.4
7,2019,23995,0,3500,0,260,36.2,2.4
7,2019,24995,0,1950,0,260,36.2,2.4
7,2017,18995,1,58630,0,260,40.4,2.4
7,2017,19490,0,35855,0,260,36.2,2.4
7,2015,14995,0,72100,0,260,32.8,3.0
7,2015,14995,0,72100,0,260,32.8,3.0
7,2019,30495,1,28,0,260,40.4,2.4
7,2016,14485,1,55232,0,260,36.7,3.0
7,2018,22445,0,22919,0,260,36.2,2.4
7,2017,17998,1,39094,0,260,40.4,2.4
7,2019,26500,0,7123,0,260,2.8,2.4
7,2019,20500,1,5190,0,260,2.8,2.4
7,2018,21998,0,12276,0,265,36.2,2.4
7,2018,22498,0,26198,0,265,36.2,2.4
7,2018,22498,0,5006,0,265,36.2,2.4
7,2018,21998,1,34868,0,260,40.4,2.4
7,2017,18698,1,46498,0,260,40.4,2.4
7,2013,15995,1,35683,0,265,36.7,3.0
7,2019,26995,0,4,0,265,2.8,2.4
7,2018,19398,1,17940,0,265,40.4,2.4
7,2018,20998,0,35041,0,265,36.2,2.4
7,2015,20495,0,19962,0,260,32.8,3.0
7,2015,17495,0,38841,0,260,32.8,3.0
7,2019,23600,1,19211,0,260,40.4,2.4
7,2019,23990,1,10663,0,260,40.4,2.4
7,2019,23990,1,9153,0,260,40.4,2.4
7,2017,20995,1,8441,0,260,40.4,2.4
7,2018,24995,0,12255,0,260,36.2,2.4
7,2018,18498,1,26411,0,265,40.4,2.4
7,2020,39257,0,1259,0,265,2.8,2.4
7,2019,27850,0,10250,0,260,2.8,2.4
7,2020,30500,0,5000,0,260,2.8,2.4
7,2017,24748,0,11517,0,260,36.2,2.4
7,2016,29990,1,52689,0,260,38.7,2.5
7,2018,18995,0,16000,0,265,36.2,2.4
7,2019,18695,1,6500,0,265,40.4,2.4
7,2017,21998,0,17235,0,260,36.2,2.4
7,2018,14598,1,21381,0,265,40.4,2.4
7,2018,23498,1,30084,0,265,40.4,2.4
7,2018,19298,1,24775,0,260,40.4,2.4
7,2016,20149,0,93112,0,260,36.2,2.4
7,2018,23994,0,16734,0,265,36.2,2.4
7,2018,22498,1,10115,0,265,40.4,2.4
7,2018,24575,1,14646,0,265,40.4,2.4
7,2019,26394,1,13000,0,260,40.4,2.4
7,2019,24250,1,12679,0,265,40.4,2.4
7,2018,20995,1,20511,0,260,40.4,2.4
7,2018,20995,0,29945,0,260,36.2,2.4
7,2017,23400,1,57932,0,260,40.4,2.4
7,2018,28850,0,21622,0,260,36.2,2.4
7,2017,21495,0,13135,0,260,36.2,2.4
7,2018,27950,1,12298,0,265,40.4,2.4
7,2020,36995,0,150,0,260,2.8,2.4
7,2016,11292,1,51840,0,260,38.7,2.5
7,2012,7750,1,99600,0,265,38.7,2.5
7,2014,14650,0,61000,0,260,32.8,3.0
7,2018,22495,0,26000,0,260,36.2,2.4
7,2018,23988,0,24692,0,260,36.2,2.4
7,2019,22995,1,10239,0,265,40.4,2.4
7,2019,33750,0,5869,0,260,36.2,2.4
7,2017,14995,1,14396,0,260,39.8,2.4
7,2017,20630,0,8793,0,260,36.2,2.4
7,2017,19350,0,20758,0,260,36.2,2.4
7,2017,20388,1,85141,0,260,40.4,2.4
7,2013,12000,0,92007,0,260,32.8,3.0
7,2014,9694,1,93334,0,260,38.7,2.5
7,2019,24995,0,17200,0,260,36.2,2.4
7,2016,15650,1,20250,0,265,40.4,2.4
7,2015,9995,1,80069,0,260,38.7,2.5
