model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
9,2019,39498,3,11712,0,145,30.1,2.8
9,2016,33000,3,22583,0,300,38.2,2.8
9,2020,44995,3,200,0,150,30.1,2.8
9,2015,32498,0,16871,0,325,34.9,3.0
9,2019,39498,3,12543,0,145,30.1,2.8
9,2015,24995,3,75000,0,330,34.9,3.0
9,2014,23995,1,53252,0,325,34.9,3.0
9,2015,29070,3,45158,0,325,34.9,3.0
9,2019,42444,3,10083,0,145,30.1,2.8
9,2019,40999,3,11619,0,145,30.1,2.8
9,2019,42995,3,16634,0,145,30.1,2.8
9,2017,38495,3,18256,0,300,38.2,2.8
9,2020,50995,3,3390,0,145,30.1,2.8
9,2015,31200,3,27845,0,300,38.2,2.8
9,2019,45995,3,8967,0,150,30.1,2.8
9,2013,25350,0,33000,0,325,34.9,3.0
9,2017,31495,3,30071,0,300,38.2,2.8
9,2019,40995,3,11404,0,145,30.1,2.8
9,2019,50995,3,6254,0,145,30.1,2.8
9,2016,31990,3,43996,0,305,38.2,2.8
9,2015,35695,3,3790,0,300,38.2,2.8
9,2019,54991,3,1000,0,145,30.1,2.8
9,2019,47795,3,8813,0,145,30.1,2.8
9,2020,52291,3,3104,0,145,30.1,2.8
9,2017,36450,3,34580,0,305,38.2,2.8
9,2017,33870,3,21000,0,150,38.2,2.8
9,2019,44935,3,15200,0,145,30.1,2.8
9,2017,39995,3,10023,0,145,38.2,2.8
9,2019,42990,3,22845,0,150,30.1,2.8
9,2017,39495,3,9200,0,145,38.2,2.8
9,2014,30442,0,36137,0,325,34.9,3.0
9,2019,48995,0,789,0,145,30.1,2.8
9,2015,29875,0,51437,0,300,38.2,2.8
9,2020,50995,0,3500,0,145,30.1,2.8
9,2015,29795,0,32364,0,325,34.9,3.0
9,2020,47885,0,4,0,145,30.1,2.8
9,2018,41499,0,15191,0,150,38.2,2.8
9,2008,6950,0,174419,0,565,31.4,3.0
9,2020,45950,0,27,0,145,30.1,2.8
9,2020,52990,0,1244,0,145,30.1,2.8
9,2019,44995,0,4512,0,145,30.1,2.8
9,2005,8000,1,80750,0,325,31.0,3.0
9,2004,5975,0,160000,0,325,31.4,3.0
9,2014,25490,0,54000,0,325,34.9,3.0
9,2004,6450,0,143000,0,325,27.2,3.0
9,1998,19990,1,100000,0,265,23.9,4.2
9,2020,54550,0,4000,0,150,30.1,2.8
9,2006,7240,0,113000,0,555,31.4,3.0
9,2017,37790,0,11356,0,145,38.2,2.8
9,2014,44990,0,60000,0,540,29.7,4.5
9,2019,49995,0,6836,0,145,30.1,2.8
