model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
12,2019,30500,0,13326,2,140,51.1,2.5
12,2017,20000,0,30379,1,20,57.6,2.5
12,2017,16500,1,25271,0,125,60.1,2.0
12,2016,15995,1,11291,0,125,60.1,2.0
12,2015,13500,1,45757,0,125,57.6,2.0
12,2017,22480,0,25170,1,135,55.4,2.5
12,2015,13698,0,43830,0,260,42.2,2.2
12,2016,17998,0,58377,1,20,55.4,2.5
12,2016,14998,1,40054,0,125,60.1,2.0
12,2013,10998,0,45322,0,260,42.2,2.2
12,2016,13498,1,32061,0,125,60.1,2.0
12,2017,17500,0,26528,3,145,43.5,2.0
12,2017,16498,0,37539,3,200,43.5,2.0
12,2014,9698,1,80049,0,145,53.0,2.0
12,2016,14817,1,35286,0,125,60.1,2.0
12,2019,29399,0,9650,1,135,51.1,2.5
12,2019,32995,0,7017,1,135,49.6,2.5
12,2016,19995,0,40827,1,20,55.4,2.5
12,2016,20495,0,18000,1,20,57.6,2.5
12,2016,21495,0,29489,1,20,55.4,2.5
12,2019,29995,0,20124,1,140,51.1,2.5
12,2016,20495,0,41060,1,20,55.4,2.5
12,2017,20795,0,25000,1,20,57.6,2.5
12,2015,11995,1,49150,0,125,57.6,2.0
12,2016,13995,1,71046,0,125,60.1,2.0
12,2014,12995,1,69401,0,125,57.6,2.0
12,2016,14495,1,49097,0,125,60.1,2.0
12,2016,14695,1,39591,0,125,60.1,2.0
12,2019,29498,0,9727,1,135,49.6,2.5
12,2019,31498,0,9258,1,135,49.6,2.5
12,2014,11498,0,47545,0,260,42.2,2.2
12,2014,10998,1,50709,0,150,53.0,2.0
12,2017,20498,0,10957,3,150,43.5,2.0
12,2013,10498,1,54057,0,160,49.6,2.2
12,2015,9998,1,60998,0,125,57.6,2.0
12,2015,12998,1,41486,0,145,53.0,2.0
12,2017,13998,1,48713,0,125,60.1,2.0
12,2017,14698,1,50039,0,145,60.1,2.0
12,2019,28998,0,10910,1,135,51.1,2.5
12,2018,19698,0,21893,3,145,43.5,2.0
12,2015,15298,3,21232,3,235,39.2,2.0
12,2019,37440,0,2764,1,135,51.1,2.5
12,2016,20990,0,18880,1,20,57.6,2.5
12,2017,19998,0,10028,3,145,43.5,2.0
12,2017,20990,0,29515,1,20,57.6,2.5
12,2016,23990,0,25614,1,20,55.4,2.5
12,2016,23990,0,20101,1,20,55.4,2.5
12,2016,13495,1,30124,0,125,60.1,2.0
12,2017,15995,1,59205,0,125,60.1,2.0
12,2016,17495,0,58100,1,20,55.4,2.5
12,2014,12998,0,41389,0,260,42.2,2.2
12,2016,13998,1,36030,0,125,60.1,2.0
12,2017,14998,1,32087,0,145,60.1,2.0
12,2016,19498,0,19618,1,20,57.6,2.5
12,2019,34990,0,5000,1,135,49.6,2.5
12,2015,9998,1,81503,0,125,57.6,2.0
12,2017,16295,1,34633,0,125,60.1,2.0
12,2016,17495,0,58100,1,20,55.4,2.5
12,2017,16295,1,34633,0,125,60.1,2.0
12,2015,13495,1,28308,0,150,53.0,2.0
12,2016,15200,1,27232,0,125,60.1,2.0
12,2017,24070,0,14766,1,135,55.4,2.5
12,2016,19970,0,35445,1,20,57.6,2.5
12,2019,29570,0,7823,1,135,51.1,2.5
12,2017,14498,1,41201,0,145,60.1,2.0
12,2016,17995,0,49254,1,20,55.4,2.5
12,2019,27570,0,15581,1,135,52.3,2.5
12,2019,34990,0,5660,1,140,49.6,2.5
12,2015,14490,0,59454,0,265,42.2,2.2
12,2017,14495,1,37893,0,125,60.1,2.0
12,2017,23070,0,23605,1,20,55.4,2.5
12,2019,29995,0,9709,1,135,49.6,2.5
12,2014,9798,1,77512,0,145,53.0,2.0
12,2016,14498,1,23485,0,125,60.1,2.0
12,2016,14998,1,28083,0,125,60.1,2.0
12,2014,11998,3,51258,3,235,39.2,2.0
12,2014,10995,1,59627,0,125,57.6,2.0
12,2019,27293,0,19814,1,135,49.6,2.5
12,2017,19988,0,31057,1,135,57.6,2.5
12,2014,9998,1,78650,0,160,49.6,2.2
12,2017,21971,0,37258,1,20,55.4,2.5
12,2016,19452,0,27176,1,20,57.6,2.5
12,2017,20667,0,25000,1,20,57.6,2.5
12,2013,10990,0,45000,0,260,42.2,2.2
12,2017,18495,0,40101,1,20,57.6,2.5
12,2016,13995,1,38338,0,125,60.1,2.0
12,2019,31995,0,11970,1,140,49.6,2.5
12,2019,31995,0,11728,1,140,49.6,2.5
12,2017,19990,0,29802,1,135,55.4,2.5
12,2016,14295,1,31887,0,125,60.1,2.0
12,2017,22795,0,20216,1,20,55.4,2.5
12,2016,18500,0,46035,1,20,55.4,2.5
12,2015,11495,1,44652,0,150,53.0,2.0
12,2014,10999,1,57942,0,145,53.0,2.0
12,2017,21998,0,13285,1,135,57.6,2.5
12,2016,17250,0,60602,1,20,55.4,2.5
12,2016,18695,0,46035,1,20,55.4,2.5
12,2017,13998,1,32815,0,125,60.1,2.0
12,2014,9780,1,88870,0,125,57.6,2.0
12,2016,18998,0,30117,1,20,57.6,2.5
12,2015,10995,1,63000,0,165,49.6,2.2
12,2017,22995,0,28486,1,20,55.4,2.5
12,2016,19490,0,30000,1,20,57.6,2.5
12,2015,12480,0,45848,0,265,42.2,2.2
12,2017,21000,0,27999,1,135,57.6,2.5
12,2016,21000,0,31059,1,20,55.4,2.5
12,2014,10999,1,57942,0,145,53.0,2.0
12,2017,22000,0,19511,1,20,55.4,2.5
12,2016,12498,1,49814,0,125,60.1,2.0
12,2018,25500,0,18861,1,135,55.4,2.5
12,2017,19998,0,41351,1,20,55.4,2.5
12,2013,9990,1,59934,0,165,49.6,2.2
12,2017,16675,1,22565,0,125,60.1,2.0
12,2019,29000,0,10853,1,135,51.1,2.5
12,2016,13000,1,56437,0,125,60.1,2.0
12,2016,23000,0,15364,1,20,55.4,2.5
12,2013,9945,1,62541,0,165,49.6,2.2
12,2019,33880,0,7576,1,140,49.6,2.5
12,2017,21480,0,39833,1,20,55.4,2.5
12,2015,13500,1,45757,0,125,57.6,2.0
12,2015,13500,1,45757,0,125,57.6,2.0
12,2019,27790,0,16360,1,135,51.1,2.5
12,2016,17795,0,37852,1,20,57.6,2.5
12,2016,21298,0,4671,1,20,57.6,2.5
12,2016,19287,0,49962,1,20,55.4,2.5
12,2013,9250,1,70964,0,165,49.6,2.2
12,2014,11000,1,52561,0,125,57.6,2.0
12,2015,13200,1,10763,0,125,57.6,2.0
12,2019,29980,0,6691,1,135,49.6,2.5
12,2016,19995,0,24757,1,20,57.6,2.5
12,2016,18995,0,43546,1,20,55.4,2.5
12,2017,19480,0,10985,3,200,43.5,2.0
12,2016,18498,0,31522,1,20,57.6,2.5
12,2017,18490,0,30305,3,145,43.5,2.0
12,2016,19490,0,32311,1,20,57.6,2.5
12,2017,22995,0,25889,1,20,55.4,2.5
12,2017,18995,0,39000,1,140,57.6,2.5
12,2017,18490,0,30724,3,205,43.5,2.0
12,2014,10490,1,67712,0,150,53.0,2.0
12,2016,16980,0,24560,3,205,43.5,2.0
12,2014,10995,1,49429,0,150,53.0,2.0
12,2016,21495,0,13586,1,20,57.6,2.5
12,2019,33595,0,8000,1,140,49.6,2.5
12,2016,14995,1,27762,0,125,60.1,2.0
12,2016,21995,0,16000,1,20,55.4,2.5
12,2016,14295,1,22262,0,125,60.1,2.0
12,2017,17390,0,28546,3,205,43.5,2.0
12,2016,16980,1,19570,0,125,60.1,2.0
12,2017,12998,1,57423,0,150,60.1,2.0
12,2017,20290,0,27498,1,140,57.6,2.5
12,2017,20690,0,48265,1,20,55.4,2.5
12,2016,13290,1,38655,0,125,60.1,2.0
12,2017,19000,0,16000,3,200,43.5,2.0
12,2017,20498,0,20829,1,135,57.6,2.5
12,2016,19490,0,11544,1,20,57.6,2.5
12,2016,21990,0,39039,1,20,55.4,2.5
12,2020,31790,0,1652,1,135,49.6,2.5
