model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
17,2019,14000,0,6821,3,150,47.9,1.5
17,2018,10750,1,14000,3,145,58.9,1.5
17,2016,11500,0,31911,1,0,78.0,1.5
17,2014,8500,0,72053,1,0,76.3,1.5
17,2017,8750,1,32594,3,150,58.9,1.5
17,2019,15000,0,1401,1,140,76.3,1.5
17,2020,14750,1,574,3,150,47.9,1.5
17,2016,12500,0,23150,1,0,78.0,1.5
17,2018,12250,1,6821,3,145,56.5,1.5
17,2019,11750,1,2408,3,145,47.9,1.5
17,2018,12000,1,14550,3,145,56.5,1.5
17,2019,13500,1,2157,3,145,47.9,1.5
17,2019,11298,1,9785,3,145,47.9,1.5
17,2018,10498,1,23354,3,145,56.5,1.5
17,2019,11995,1,5571,3,145,47.9,1.5
17,2014,4850,1,61170,3,30,58.9,1.0
17,2016,12695,0,15945,1,0,78.0,1.5
17,2014,10495,0,29452,1,0,78.0,1.5
17,2017,8998,1,22210,3,30,58.0,1.3
17,2016,8298,1,26633,3,30,58.0,1.3
17,2013,5998,1,29257,3,125,52.3,1.3
17,2017,8998,1,32009,3,145,65.7,1.0
17,2017,8998,1,22420,3,145,58.9,1.5
17,2018,10298,1,15588,3,145,58.9,1.5
17,2018,8998,1,17120,3,145,58.9,1.5
17,2016,8998,1,9342,3,30,58.0,1.3
17,2017,9498,1,23277,3,30,55.0,1.3
17,2017,8298,1,23317,3,30,58.0,1.3
17,2017,10298,1,12090,3,145,58.9,1.5
17,2017,9698,1,11016,3,30,55.0,1.3
17,2015,7498,1,40683,3,30,55.0,1.3
17,2013,5298,1,33072,3,30,58.9,1.0
17,2019,13698,0,8388,1,140,76.3,1.5
17,2016,8995,1,17876,3,30,55.0,1.3
17,2015,6798,1,37425,3,30,58.0,1.3
17,2015,9998,0,49026,1,0,78.0,1.5
17,2018,10298,1,10525,3,145,58.9,1.5
17,2017,8498,1,16527,3,30,58.0,1.3
17,2018,14495,0,7562,1,135,76.3,1.5
17,2019,16310,0,1816,1,135,76.3,1.5
17,2016,10572,0,35588,1,0,86.0,1.5
17,2018,9212,1,42000,3,145,58.9,1.5
17,2020,12995,1,976,3,145,47.9,1.5
17,2014,8995,3,36555,3,30,55.4,1.3
17,2016,7995,1,24790,3,0,66.0,1.0
17,2017,9995,1,25724,3,30,55.0,1.3
17,2015,10895,0,34012,1,0,78.0,1.5
17,2015,8995,1,18980,3,30,55.0,1.3
17,2017,8995,1,15500,3,30,58.0,1.3
17,2019,11747,1,14026,3,145,47.9,1.5
17,2015,10498,0,29311,1,0,78.0,1.5
17,2018,9998,1,26413,3,145,58.9,1.5
17,2014,8498,0,57677,1,0,80.7,1.5
17,2013,10498,0,9425,1,0,80.7,1.5
17,2016,11495,0,9500,1,0,86.0,1.5
17,2017,10495,1,10360,3,30,55.0,1.3
17,2018,9798,1,11935,3,145,58.9,1.5
17,2015,6995,1,33000,3,0,66.0,1.0
17,2016,8590,1,13082,3,30,58.0,1.3
17,2016,7498,1,30856,3,30,58.0,1.3
17,2014,9998,0,23073,1,0,76.3,1.5
17,2019,11995,1,8050,3,145,47.9,1.5
17,2016,9298,1,27924,3,30,55.0,1.3
17,2019,8495,1,14778,3,145,56.5,1.5
17,2014,9795,0,29759,1,0,80.7,1.5
17,2018,11895,1,12500,3,145,56.5,1.5
17,2017,9995,1,10360,3,145,58.9,1.5
17,2019,14495,0,15100,1,135,76.3,1.5
17,2013,6998,1,17121,3,125,51.4,1.3
17,2015,10998,0,34802,1,0,78.0,1.5
17,2014,6995,1,67441,3,125,52.3,1.3
17,2017,8498,1,23995,3,30,58.0,1.3
17,2017,12498,0,11485,1,0,86.0,1.5
17,2017,10295,1,15700,3,145,58.9,1.5
17,2016,8998,1,13347,3,30,58.0,1.3
17,2014,8998,0,56307,1,0,76.3,1.5
17,2016,7998,1,20833,3,30,58.0,1.3
17,2017,9498,1,31512,3,145,55.0,1.3
17,2018,10695,1,11323,3,145,58.9,1.5
17,2018,9998,1,19701,3,145,47.1,1.5
17,2014,6498,1,20718,3,125,52.3,1.3
17,2017,8298,1,29855,3,30,58.0,1.3
17,2016,8698,1,8484,3,0,66.0,1.0
17,2015,6195,1,44277,3,30,58.0,1.3
17,2014,9998,0,23998,1,0,76.3,1.5
17,2014,6498,1,34866,3,125,51.4,1.3
17,2016,9498,1,20779,3,30,55.0,1.3
17,2019,13498,1,1373,3,145,47.9,1.5
17,2014,5998,1,50425,3,30,58.0,1.3
17,2017,7998,1,35655,3,30,58.0,1.3
17,2016,7998,1,37119,3,30,58.0,1.3
17,2016,7998,1,25000,3,30,58.0,1.3
17,2016,7298,1,8246,3,0,66.0,1.0
17,2013,5498,1,43602,3,125,52.3,1.3
17,2017,8698,1,27980,3,30,58.0,1.3
17,2016,11498,0,23191,1,0,86.0,1.5
17,2016,8698,0,39513,3,30,55.0,1.3
17,2018,10998,1,24584,3,145,56.5,1.5
17,2016,7698,1,35987,3,30,58.0,1.3
17,2017,8498,1,27154,3,30,58.0,1.3
17,2016,7498,1,30712,3,30,58.0,1.3
17,2016,8698,1,24709,3,30,58.0,1.3
17,2016,7998,1,30159,3,30,58.0,1.3
17,2013,5698,1,36253,3,30,58.9,1.0
17,2017,9230,1,4312,3,30,58.0,1.3
17,2013,4998,1,65545,3,30,58.9,1.0
17,2017,9998,1,13498,3,30,55.0,1.3
17,2016,8998,1,17221,3,30,55.0,1.3
17,2016,7998,1,30233,3,30,58.0,1.3
17,2017,9998,1,22500,3,145,55.0,1.3
17,2017,10998,1,9844,3,30,55.0,1.3
17,2017,9998,1,19285,3,145,56.5,1.5
17,2017,9998,1,15208,3,145,56.5,1.5
17,2017,9498,1,20624,3,145,58.9,1.5
17,2014,6998,1,24900,3,125,51.4,1.3
17,2015,6998,1,35700,3,30,58.0,1.3
17,2016,7298,1,17001,3,0,66.0,1.0
17,2016,12998,0,10398,1,0,78.0,1.5
17,2017,9998,1,30241,3,145,56.5,1.5
17,2017,9698,1,30996,3,145,56.5,1.5
17,2017,12698,0,32245,1,135,67.3,1.5
17,2017,9998,1,18837,3,150,58.9,1.5
17,2019,12898,1,3120,3,150,47.9,1.5
17,2015,8998,0,16821,3,30,58.0,1.3
17,2016,6998,1,22169,3,0,66.0,1.0
17,2016,7298,1,34586,3,30,58.0,1.3
17,2016,8998,1,16197,3,30,58.0,1.3
17,2016,8998,1,16471,3,30,58.0,1.3
17,2015,7298,1,32601,3,30,55.0,1.3
17,2017,9498,1,10696,3,30,58.0,1.3
17,2016,8698,1,18993,3,30,58.0,1.3
17,2017,12498,0,20644,1,0,78.0,1.5
17,2017,10495,0,24311,3,30,58.0,1.3
17,2016,9498,1,6849,3,30,55.0,1.3
17,2017,11998,0,42788,1,0,78.0,1.5
17,2017,9698,1,7601,3,30,55.0,1.3
17,2017,10298,1,14020,3,145,58.9,1.5
17,2017,8998,1,19404,3,145,58.9,1.5
17,2015,11498,0,15281,1,0,78.0,1.5
17,2017,9498,1,24306,3,145,58.9,1.5
17,2014,6350,1,38996,3,125,52.3,1.3
17,2015,7291,1,19450,3,0,66.0,1.0
17,2013,5698,1,51358,3,125,51.4,1.3
17,2018,9990,1,36526,3,150,58.9,1.5
17,2015,6443,1,40039,3,30,58.0,1.3
17,2015,6641,1,40070,3,30,58.0,1.3
17,2017,8998,1,3601,3,30,58.0,1.3
17,2013,6998,3,37825,3,30,55.4,1.3
17,2017,13498,0,7469,1,135,76.3,1.5
17,2016,13590,0,10320,1,0,78.0,1.5
17,2018,10440,1,24155,3,145,58.9,1.5
17,2017,9440,1,28502,3,145,58.9,1.5
17,2017,9440,1,20115,3,145,58.9,1.5
17,2016,10998,0,17669,3,30,55.0,1.3
17,2017,8498,1,18624,3,30,58.0,1.3
17,2018,10990,1,15958,3,150,58.9,1.5
17,2018,12690,0,8965,3,150,60.1,1.5
17,2019,13495,1,200,3,145,47.9,1.5
17,2019,17990,0,3471,1,135,76.3,1.5
17,2018,10998,1,8227,3,145,47.1,1.5
17,2017,9998,1,5019,3,145,65.7,1.0
17,2016,7998,1,25509,3,30,58.0,1.3
17,2019,13498,1,2224,3,145,47.9,1.5
17,2017,8898,1,16045,3,30,58.0,1.3
17,2016,8298,1,26856,3,30,58.0,1.3
17,2017,9998,1,10346,3,145,56.5,1.5
17,2013,8880,0,33618,1,0,80.7,1.5
17,2018,11290,1,15699,3,145,47.1,1.5
17,2018,12990,0,16463,1,135,76.3,1.5
17,2018,14440,0,13146,1,135,67.3,1.5
17,2017,10298,1,12743,3,150,58.9,1.5
17,2018,9895,1,21403,3,145,58.9,1.5
17,2016,8498,1,20249,3,30,58.0,1.3
17,2017,10998,1,7350,3,150,56.5,1.5
17,2017,10298,1,22350,3,150,56.5,1.5
17,2015,10498,0,41321,1,0,78.0,1.5
17,2019,11995,1,11424,3,145,47.9,1.5
17,2017,11995,0,20050,1,0,86.0,1.5
17,2017,8995,1,30419,3,30,58.0,1.3
17,2013,6920,3,51642,3,125,53.3,1.3
17,2017,9420,1,7788,3,30,58.0,1.3
17,2018,12990,0,8125,3,145,47.1,1.5
17,2016,7998,1,22500,3,30,58.0,1.3
17,2017,8298,1,13120,3,30,58.0,1.3
17,2018,10498,1,13859,3,150,58.9,1.5
17,2015,6698,1,29015,3,0,66.0,1.0
17,2016,10495,0,45211,1,0,86.0,1.5
17,2016,11990,0,27602,1,0,86.0,1.5
17,2017,9698,1,24260,3,145,58.9,1.5
17,2014,5998,1,49374,3,125,52.3,1.3
17,2016,11698,0,35098,1,0,78.0,1.5
17,2017,10498,1,9857,3,30,55.0,1.3
17,2016,9498,0,37871,1,0,86.0,1.5
17,2016,7495,1,52000,0,0,80.7,1.4
17,2019,16995,0,7320,1,135,67.3,1.5
17,2018,12990,0,26566,1,135,76.3,1.5
17,2018,13780,0,20675,1,135,76.3,1.5
17,2017,13070,0,14200,1,0,86.0,1.5
17,2017,8695,1,28204,3,145,58.9,1.5
17,2016,9498,0,23173,3,30,58.0,1.3
17,2017,9998,1,28548,3,30,55.0,1.3
17,2016,12070,0,21805,1,0,78.0,1.5
17,2017,12995,0,20050,1,0,86.0,1.5
17,2017,11990,0,13196,3,150,60.1,1.5
17,2016,8570,1,29466,3,30,55.0,1.3
17,2018,9990,1,8011,3,150,58.9,1.5
17,2014,4995,1,53854,3,125,52.3,1.3
17,2016,6495,1,25345,3,0,66.0,1.0
17,2016,13870,0,15821,1,0,78.0,1.5
17,2019,11998,1,1404,3,150,47.9,1.5
17,2016,8070,1,32685,3,0,66.0,1.0
17,2014,10460,0,29847,1,0,78.0,1.5
17,2019,12570,1,8579,3,145,47.9,1.5
17,2017,12570,0,26758,1,140,76.3,1.5
17,2018,10790,1,16424,3,145,58.9,1.5
17,2019,11490,1,8793,3,150,47.9,1.5
17,2018,10670,1,16795,3,145,58.9,1.5
17,2017,10998,1,9386,3,145,56.5,1.5
17,2017,9298,1,35121,3,30,55.0,1.3
17,2013,5998,1,43364,3,125,51.4,1.3
